operator_code,period,flight_count,delayed_over_15_count,median_arrival_delay_min,median_scheduled_duration_min,operator_name,operator_country,delay_over_15_pct,scope_id
EVA,2022-09,130,104,28.8917,699.4167,EVA AIRWAYS CORPORATION,CHINA,80.0,scheduled_duration_3h_or_more
EVA,2022-12,266,196,28.5417,733.2167,EVA AIRWAYS CORPORATION,CHINA,73.6842,scheduled_duration_3h_or_more
EWG,2022-03,1103,108,-0.6,266.7,EUROWINGS GMBH,GERMANY,9.7915,scheduled_duration_3h_or_more
EWG,2022-06,1937,686,8.6,203.4167,EUROWINGS GMBH,GERMANY,35.4156,scheduled_duration_3h_or_more
EWG,2022-09,1707,457,6.9667,206.4167,EUROWINGS GMBH,GERMANY,26.7721,scheduled_duration_3h_or_more
EWG,2022-12,1195,182,2.35,267.5333,EUROWINGS GMBH,GERMANY,15.2301,scheduled_duration_3h_or_more
EXS,2022-03,2588,169,-0.5333,255.625,JET2.COM LTD,UNITED KINGDOM,6.5301,scheduled_duration_3h_or_more
EXS,2022-06,6378,2663,11.1333,242.875,JET2.COM LTD,UNITED KINGDOM,41.7529,scheduled_duration_3h_or_more
EXS,2022-09,6569,2068,7.2333,244.0333,JET2.COM LTD,UNITED KINGDOM,31.4812,scheduled_duration_3h_or_more
EXS,2022-12,2393,399,1.8667,255.65,JET2.COM LTD,UNITED KINGDOM,16.6736,scheduled_duration_3h_or_more
EZS,2022-03,362,25,-2.425,246.45,EASY JET SWITZERLAND SA,SWITZERLAND,6.9061,scheduled_duration_3h_or_more
EZS,2022-06,329,57,2.1,223.5333,EASY JET SWITZERLAND SA,SWITZERLAND,17.3252,scheduled_duration_3h_or_more
EZS,2022-09,325,59,3.45,221.1667,EASY JET SWITZERLAND SA,SWITZERLAND,18.1538,scheduled_duration_3h_or_more
EZS,2022-12,430,78,2.05,242.0333,EASY JET SWITZERLAND SA,SWITZERLAND,18.1395,scheduled_duration_3h_or_more
EZY,2022-03,2655,161,-3.65,246.8167,EASYJET UK LTD,UNITED KINGDOM,6.064,scheduled_duration_3h_or_more
EZY,2022-06,5226,2331,12.6,230.6083,EASYJET UK LTD,UNITED KINGDOM,44.6039,scheduled_duration_3h_or_more
EZY,2022-09,5630,2058,9.8667,230.0667,EASYJET UK LTD,UNITED KINGDOM,36.5542,scheduled_duration_3h_or_more
EZY,2022-12,3228,427,0.4667,242.4083,EASYJET UK LTD,UNITED KINGDOM,13.228,scheduled_duration_3h_or_more
FDX,2022-03,971,394,10.4667,469.1333,FEDERAL EXPRESS CORPORATION,UNITED STATES,40.5767,scheduled_duration_3h_or_more
