operator_code,flight_count,periods_active,route_count,delayed_over_15_count,median_arrival_delay_min,median_scheduled_duration_min,delay_over_15_pct,scope_id,scope_label,operator_name,operator_country,executive_eligible
MSC,238,4,35,39,-0.1333,160.1083,16.3866,scheduled_duration_under_3h,Under 3 hours,AIR CAIRO,EGYPT,False
MSR,2534,4,31,623,4.4333,113.3,24.5856,scheduled_duration_under_3h,Under 3 hours,EGYPT AIR,EGYPT,True
NCA,62,4,1,13,-0.275,106.4917,20.9677,scheduled_duration_under_3h,Under 3 hours,"NIPPON CARGO AIRLINES CO., LTD.",JAPAN,False
NDA,587,4,6,22,-5.6833,38.15,3.7479,scheduled_duration_under_3h,Under 3 hours,NORDICA,ESTONIA,True
NIA,214,4,5,16,-2.2583,123.8417,7.4766,scheduled_duration_under_3h,Under 3 hours,NILE AIR,EGYPT,False
NOS,1536,4,269,158,-0.9,94.6083,10.2865,scheduled_duration_under_3h,Under 3 hours,NEOS S.P.A.,ITALY,True
OAL,7512,4,87,316,-7.8917,57.75,4.2066,scheduled_duration_under_3h,Under 3 hours,OLYMPIC AIR,GREECE,True
OCN,990,4,59,136,4.6917,149.5333,13.7374,scheduled_duration_under_3h,Under 3 hours,EW DISCOVER GMBH,GERMANY,True
PGT,34335,4,351,6407,2.6667,85.3667,18.6603,scheduled_duration_under_3h,Under 3 hours,PEGASUS HAVA TASIMACILIGI A.S. (PEGASUS),TURKEY,True
PNX,496,4,35,31,-1.6,37.2667,6.25,scheduled_duration_under_3h,Under 3 hours,AIS AIRLINES,NETHERLANDS,False
PRS,24,1,4,6,2.45,138.825,25.0,scheduled_duration_under_3h,Under 3 hours,PARS AIR,IRAN (ISLAMIC REPUBLIC OF),False
QTR,1257,4,93,251,2.35,153.2167,19.9682,scheduled_duration_under_3h,Under 3 hours,QATAR AIRWAYS GROUP Q.C.S.C.,QATAR,True
RAC,92,1,2,0,-5.7417,68.4917,0.0,scheduled_duration_under_3h,Under 3 hours,ICAR AIR,BOSNIA AND HERZEGOVINA,False
RAM,12784,4,220,2908,5.45,121.2083,22.7472,scheduled_duration_under_3h,Under 3 hours,ROYAL AIR MAROC - COMPAGNIE NATIONALE DE TRANSPORTS AERIENS,MOROCCO,True
RIV,126,4,4,4,-10.3583,92.225,3.1746,scheduled_duration_under_3h,Under 3 hours,APG AIRLINES,FRANCE,False
RJA,1213,4,17,191,2.35,119.9833,15.7461,scheduled_duration_under_3h,Under 3 hours,ROYAL JORDANIAN,JORDAN,True
RLU,38,3,4,1,-6.3,150.4,2.6316,scheduled_duration_under_3h,Under 3 hours,RUSLINE,RUSSIAN FEDERATION,False
ROT,7428,4,78,536,-4.5083,80.975,7.2159,scheduled_duration_under_3h,Under 3 hours,COMPANIA NATIONALA DE TRANSPORTURI AERIENE ROMANE TAROM S.A.,ROMANIA,True
RWD,81,3,2,15,8.9333,50.2667,18.5185,scheduled_duration_under_3h,Under 3 hours,RWANDAIR LTD.,RWANDA,False
RYR,267750,4,4785,38191,1.5333,109.7167,14.2637,scheduled_duration_under_3h,Under 3 hours,RYANAIR,IRELAND,True
RZO,2048,4,40,409,3.1583,135.1417,19.9707,scheduled_duration_under_3h,Under 3 hours,SATA INTERNACIONAL - AZORES AIRLINES S.A,PORTUGAL,True
SAS,53948,4,489,3805,-0.1833,67.15,7.0531,scheduled_duration_under_3h,Under 3 hours,SCANDINAVIAN AIRLINES SYSTEM,SWEDEN,True
SAT,5802,4,43,488,-0.4,33.0083,8.4109,scheduled_duration_under_3h,Under 3 hours,SERVICO ACOREANO DE TRANSPORTES AEREOS - EP (SATA),PORTUGAL,True
SAW,129,4,9,60,13.5167,147.35,46.5116,scheduled_duration_under_3h,Under 3 hours,CHAM WING AIRLINES,SYRIAN ARAB REPUBLIC,False
SBI,702,4,7,178,5.325,144.0667,25.3561,scheduled_duration_under_3h,Under 3 hours,SIBERIA AIRLINES,RUSSIAN FEDERATION,True
SDM,3339,4,33,721,4.6667,98.9333,21.5933,scheduled_duration_under_3h,Under 3 hours,"ROSSIYA AIRLINES, JOINT STOCK COMPANY",RUSSIAN FEDERATION,True
SDR,983,4,240,232,5.1833,141.55,23.6012,scheduled_duration_under_3h,Under 3 hours,SUNDAIR GMBH,GERMANY,True
SEH,15875,4,177,686,-6.4833,58.8,4.3213,scheduled_duration_under_3h,Under 3 hours,SKY EXPRESS S.A.,GREECE,True
SHT,8043,4,25,2345,8.3667,67.6833,29.1558,scheduled_duration_under_3h,Under 3 hours,BRITISH AIRWAYS SHUTTLE,UNITED KINGDOM,True
SIA,262,4,11,30,0.8333,96.1083,11.4504,scheduled_duration_under_3h,Under 3 hours,SINGAPORE AIRLINES LIMITED,SINGAPORE,False
SLD,258,4,10,0,-14.7833,59.9167,0.0,scheduled_duration_under_3h,Under 3 hours,SILVER AIR LTD,CZECHIA,False
SLJ,24,2,21,3,-2.4167,68.8333,12.5,scheduled_duration_under_3h,Under 3 hours,SLAM LAVORI AEREI S.R.L.,ITALY,False
SOP,82,2,9,13,2.7583,90.1,15.8537,scheduled_duration_under_3h,Under 3 hours,SOLINAIR LTD,SLOVENIA,False
SRR,2756,4,65,462,2.7667,70.35,16.7634,scheduled_duration_under_3h,Under 3 hours,MAERSK AIR CARGO A/S,DENMARK,True
SSF,102,4,4,11,1.4833,123.2667,10.7843,scheduled_duration_under_3h,Under 3 hours,"SEVERSTAL, LTD AIRCOMPANY",RUSSIAN FEDERATION,False
SUS,185,4,41,8,-9.3667,107.5167,4.3243,scheduled_duration_under_3h,Under 3 hours,SUN-AIR OF SCANDINAVIA A/S,DENMARK,False
